,image_id,label,img_name
836496,03343746,로 평년기온을 11도 가량 웃돌면서 5월 상순에 해당되는 고온현상이,03343746.png
836498,03343748,"남학생 21명에게 무기정학 5명, 유기정학 6명, 근신 2명, 사회봉사",03343748.png
836500,03343750,"검찰 관계자는 ""김 전 회장은 외교통상부와 재외 공관을 통해 인터폴",03343750.png
836501,03343751,날인 내일은 대부분 지방이 맑겠지만 제주도는 오후 한때 비나 눈이,03343751.png
836509,03343759,다. 검찰은 실제 로비가 이뤄졌는지 확인 중이며 김 전 원장의 소환을,03343759.png
836516,03343766,"6월 10일부터는 고창 특산물인 복분자와 풍천장어, 수박과 옥수수를",03343766.png
836521,03343771,반면 예산삭감을 주도한 도의회 한나라당 원내대표인 김오영 의원은,03343771.png
836529,03343779,오늘 비교적 온화한 날씨가 이어지면서 활동하기 무난했습니다. 설,03343779.png
836539,03343789,"정권자였는데 이에 대한 사과가 우선""이라고 했다. 한편 문 후보와 김",03343789.png
836540,03343790,내는 동생이 없어 주변을 살피다 창고에서 목을 매 숨져있는 동생을,03343790.png
836542,03343792,"난해 위기를 평화롭게 극복해 전 세계가 경이롭게 보고 있다면서, 평",03343792.png
836545,03343795,"했다. 정승인 마케팅 부문장은 ""이번 탐방을 통해, 우리 민족의 자랑",03343795.png
836555,03343805,검찰은 글로웍스가 몽골 금광 개발에 투자한다는 등의 허위 공시를,03343805.png
836559,03343809,의견과 폭동 선동은 엄중하게 처벌해야 한다는 의견이 팽팽히 맞서,03343809.png
836565,03343815,"9월 중국전 한 골 차 진땀승을 시작으로, 조 최약체로 꼽히던 시리아",03343815.png
836566,03343816,휴가를 요청해 놓았으며 형사대를 이씨의 군부대에 보내 이씨를 경찰,03343816.png
836590,03343840,공조를 강화하기 위해서다. 박재완 기획재정부 장관과 김중수 한국은,03343840.png
836599,03343849,손 아나운서는 지인의 소개로 만난 장 씨와 1년여의 교제 끝에 결혼에,03343849.png
836608,03343858,따르면 지난해 12월까지 주 40시간제를 법정시행일보다 앞당겨 시행,03343858.png
836612,03343862,회복을 중심으로 거시정책이 운영돼야 한다는 공통인식에 따라 정책,03343862.png
836615,03343865,"""오늘은 날이 참 따뜻했죠? 온화한 남서풍이 불면서 기온이 크게 올",03343865.png
836619,03343869,개별 노동정책이 성과를 내기 위해서는 산업정책이나 중소기업정책,03343869.png
836624,03343874,이 과제가 국가 추진과제로 선정됐다. 이에 따라 오는 2014년을 목,03343874.png
836628,03343878,법무부는 8일 프랑스의 열차 제작업체 로르 그룹의 로베르 로르 회장,03343878.png
836636,03343886,"하기때문에 꺼리는 것으로 풀이됐다. 노동사무소 관계자는 ""근로시간",03343886.png
836646,03343896,WONBIN'을 열어 팬들과 만난다. 약 5천여명의 팬들이 참석할 예정,03343896.png
836648,03343898,단과 총격을 벌이다 경찰이 사망하기도 했다.,03343898.png
836650,03343900,기 오렌지 등 풍부한 과실향과 튼튼한 구조감을 가진 캘리포니아 최,03343900.png
836657,03343907,했던 치즈축제와 오수의견제를 통합해 올해 처음 통합축제로 연다.,03343907.png
836659,03343909,베 시에서 20명으로 구성된 강도단이 30분만에 은행 3곳을 터는 사,03343909.png
836668,03343918,하는 점에 비춰 B고교의 전입학 시스템에 중대 허점이 있었던 사실도,03343918.png
836672,03343922,"달리 19m파일 대신 6m파일을 박았고, 가물막이 하류지역의 준설을",03343922.png
836673,03343923,"않을 것""이라고 비난했다. 이에 대해 배은희 한나라당 대변인은 논평",03343923.png
836677,03343927,사에게 넘겨준것으로 알고 있다. 원래 학생과 학부모는 함께 전입학,03343927.png
836683,03343933,대한통운(대표 이원태)이 글로벌 인재 양성에 박차를 가하고 있다. 대,03343933.png
836685,03343935,이는 방식을 택해 공장식 축산을 할 수 없다며 한정생산을 강점으로,03343935.png
836692,03343942,다. 감찰부는 C검사에 대해 진상규명을 위해 대검에 출석할 것을 통,03343942.png
836698,03343948,가물막이 붕괴사고는 수차례 안전보강공사가 필요하다는 지적을 무,03343948.png
836703,03343953,구조를 재개키로 했다. 한편 이날 좌초된 선박은 부산에서 석회석을,03343953.png
836705,03343955,"사 등 다른 사안과 연계 가능성까지 언급해 민주당의 반발을 샀고, 북",03343955.png
836706,03343956,로 평년기온을 11도 가량 웃돌면서 5월 상순에 해당되는 고온현상이,03343956.png
836712,03343962,이후 밝혀온대로 검사 기능과 함께 소비자 보호 업무를 강화하기 위,03343962.png
836714,03343964,"참여시켰는데 지금은(이명박정부는) 그런 의지가 전혀 없다""며 ""지금",03343964.png
836719,03343969,장을 고발했지만 무혐의 처리됐다. 당시 오 교사는 아는 검사를 통해,03343969.png
836721,03343971,례 통화한 적은 있으나 그 전에는 일면식도 없다. 아들 주소지의 주인,03343971.png
836728,03343978,실 자체를 부인하기는 어려워지고 어떤 식으로든 3억원의 행방을 언,03343978.png
836737,03343987,으로 알려지고 있다. 지난 5월 8일 구미시와 국가공단의 생명줄인 해,03343987.png
836744,03343994,"초속 10미터 안팎, 서울 초속 4.6미터로 꽤 강합니다. 오늘 해안과 강",03343994.png
836745,03343995,9회 연속 월드컵 본선 진출은 마지막 벼랑 끝까지 몰리는 힘겨운 과정,03343995.png
836746,03343996,"내일 아침 기온은 서울 12도, 광주 14도로 예상됩니다. 낮 기온은 서",03343996.png
836748,03343998,해관리공단은 지난 1월 지식경제부 기술표준원의 12년 국가표준기,03343998.png
836763,03344013,다. 재정부와 한은간 정례회의는 1990년대 중반 국장급 수준의 통화,03344013.png
836764,03344014,"피해자 문제 제기를 하는 등 보다 적극적인 자세를 보여야 한다""고 말",03344014.png
836765,03344015,"술력 향상사업에 광해방지기술의 KS 및 ISO 인증을 신규 제안했으며,",03344015.png
836766,03344016,해 12회를 맞는 전주국제영화제는 5월 6일까지 9일간 열린다. 38개,03344016.png
836779,03344029,"는 이번 탐방은 안중근 의사 관련 레포트 우수 대학생 13명, 전국 중",03344029.png
836793,03344043,모돼 이행됐을 가능성이 높다는 의혹이 제기됐다. 이 밖에 해외 유학,03344043.png
836796,03344046,입니다.,03344046.png
836805,03344055,조되는 과정에서 높은 파도로 많은 물을마셔 의식불명 상태로 삼척의,03344055.png
836806,03344056,"편적 복지를 할 수 있는데 한 푼의 증세 없이도 마련할 수 있다""며 ""부",03344056.png
836809,03344059,"는 ""노동계가 기대가 컸던 데 반해 참여정부가 한계가 있었다는 점을",03344059.png
836810,03344060,"에는 박씨가 해당 주식을 대량 매도해 주가가 폭락하자 ""손실 보전을",03344060.png
836817,03344067,흡수된다. 리스크검사지원국은 폐지된다. 금감원은 또 소비자서비스,03344067.png
836819,03344069,m의 눈이 내리겠습니다. 내일 비가 오는 지역에서는 돌풍과 함께 천,03344069.png
836826,03344076,주민의 인권을 실질적으로 증진하고 국제적 기준에 따라 인도적 지원,03344076.png
836829,03344079,받지 않았다고 했다가 나중에 500만원을 받았다고 인정했다. 그러나,03344079.png
836837,03344087,"""오늘은 날이 참 따뜻했죠? 온화한 남서풍이 불면서 기온이 크게 올",03344087.png
836838,03344088,기획재정부와 한국은행이 월 1회 정기적으로 만나 경제정책 현안을,03344088.png
836839,03344089,"트너""라며 ""우리 캠프에 민주노총을 대표할 수 있는 분을 노동본부장",03344089.png
836841,03344091,량 낮겠습니다. 바다의 물결은 동해상에서 최고 6미터까지 거세게 일,03344091.png
836842,03344092,도록 하는 게 조합운영 방향이었다. 서울우유는 유통 전 과정이 냉장,03344092.png
836844,03344094,조율하는 '거시정책실무협의회'를 구성하기로 했다. 물가안정과 고용,03344094.png
836848,03344098,"벌위원회의 징계 의결에 불복, 의과대에 이의를 제기한 상태다.인하",03344098.png
836849,03344099,주소로돼 있어야 하고 실제 거주해야 한다고 교육청 관계자가 전했,03344099.png
836856,03344106,", 백두산 등 우리 민족의 발자취가 묻어있는 유적지도 탐방할 예정이",03344106.png
836862,03344112,"제보다 5,6도 가량 낮겠습니다. 현재 대부분 해상으로 풍랑 특보가 발",03344112.png
836867,03344117,맞는 이 축제는 공음면 학원농장의 보리밭에서 5월 8일까지 열린다.,03344117.png
836870,03344120,"준화할 예정이며, 향후 산림복원 기술, 지반침하 방지기술 등으로 확",03344120.png
836878,03344128,총 내부에서는 썩 우호적이지 않았던 것으로 전해졌다. 이날 간담회,03344128.png
836879,03344129,당하는 시공사 관계자도 붕괴위험을 사전에 지적하며 보강공사를 수,03344129.png
836884,03344134,인성 교과목을 운영해 인성 및 인권 존중의 교육 환경을 조성해나가,03344134.png
836905,03344155,심야까지 회의를 열지 못하고 24일로 연기했다. 법안심사소위 위원,03344155.png
836908,03344158,럭으로 길목을 차단해 경찰의 접근을 막았으며 3대의 픽업과 1대의,03344158.png
836912,03344162,"을 통해 ""북한의 협박에 굴복해 법제정을 망설인다면 국회가 본분을",03344162.png
836914,03344164,현영희 새누리당 의원의 공천헌금 의혹을 수사 중인 검찰이 현기환,03344164.png
836919,03344169,이 가동돼 한은의 통화정책이 영향을 받는 것 아니냐는 우려의 목소,03344169.png
836940,03344190,정이다. 또 학생들의 성 평등 의식 고취를 위해 성 평등 교육과 함께,03344190.png
836949,03344199,"다. 이 관계자는 이어 ""전입학 당시 오 교사가 전입학서류를 담당 교",03344199.png
836953,03344203,"난해 위기를 평화롭게 극복해 전 세계가 경이롭게 보고 있다면서, 평",03344203.png
836959,03344209,"준화할 예정이며, 향후 산림복원 기술, 지반침하 방지기술 등으로 확",03344209.png
836968,03344218,"으며 사안의 중대성을 감안, 가해 학생들의 이의 제기를 면밀히 검토",03344218.png
836974,03344224,"조사 및 서면 조사, 추가 증거 확보 등을 거쳐 최종적으로 지난달 가해",03344224.png
836976,03344226,후배가 되는 것을 싫어하는 것을 보고 아내의 지인이 사는 강동구로,03344226.png
836979,03344229,마당 등을 선보일 계획이다. 남원에선 5월 6일부터 10일까지 문화체,03344229.png
836980,03344230,둥 번개가 치겠습니다. 비는 밤에 서쪽 지역부터 차차 그치겠습니다.,03344230.png
836982,03344232,"표경기와 체감경기간 괴리에 대한 의견교환이 있었고, 서비스산업 경",03344232.png
836983,03344233,유동업조합으로 시작한 서울우유는 이후 국내 낙농산업의 혁신을 선,03344233.png
836994,03344244,로 평년기온을 11도 가량 웃돌면서 5월 상순에 해당되는 고온현상이,03344244.png
837001,03344251,7호 객차에 앉아 졸고 있었는데 갑자기 주위가 시끄러워 눈을 떠 보,03344251.png
837002,03344252,영국 폭동 와중에 페이스북에 선동 글을 올린 젊은이들에게 중형이,03344252.png
837028,03344278,"교사는 ""2001년 6월 한 교사가 보충수업비 횡령 등 4가지 혐의로 교",03344278.png
837032,03344282,과 다르게 경영실적보고서를 작성해 높은 등급을 받았다. 이 덕분에,03344282.png
837033,03344283,"""이라며 정면 반박하는 등 인권법을 둘러싼 갈등이 여야 갈등을 넘어",03344283.png
837042,03344292,인성 교과목을 운영해 인성 및 인권 존중의 교육 환경을 조성해나가,03344292.png
837047,03344297,사실이 뒤늦게 밝혀졌다. 담임교사는 C군의 전입학 이전부터 이미 C,03344297.png
837049,03344299,보완조치를 요청했다. 대한하천학회 등 전문가와 시민단체도 사고위,03344299.png
837050,03344300,상태로 이뤄지는 콜드체인시스템을 도입해 2000여 곳의 전용목장에,03344300.png
837051,03344301,창 올림픽은 88올림픽 이후 성장과 발전을 전세계에 알리는 좋은 계,03344301.png
837053,03344303,따르면 지난해 12월까지 주 40시간제를 법정시행일보다 앞당겨 시행,03344303.png
837054,03344304,"보다 높겠고, 한낮에도 대부분 지역이 영상으로 오르면서 추위가 누",03344304.png
837060,03344310,한 국방력을 기반으로 남북 대화와 평화를 추구해 가겠다고 말했습니,03344310.png
837061,03344311,시 김종창 금감원장에게 청탁한 정황을 포착한 것으로 30일 확인됐,03344311.png
837062,03344312,업부서로 배치해 검사기능과 소비자보호 업무를 대폭 강화한다는 방,03344312.png
837067,03344317,트워크를 폭동의 도구라며 비난해 온 데이비드 캐머런 영국 총리는,03344317.png
837071,03344321,기관으로부터 9조2천억원의 사기대출을 받은 혐의 등으로 대검 중수,03344321.png
837079,03344329,"에 참석한 민주노총 한 핵심관계자는 ""참여정부에서 가장 실패한 정",03344329.png
837082,03344332,"을 수 있도록 하는 것이다. 이 의원은 ""최근 일본군 위안부 피해자들",03344332.png
837084,03344334,라 보험권역은 기존 2국 2실 체제에서 5개 국 체제로 대폭 확대될 예,03344334.png
837093,03344343,"있도록 국가가 도와야 한다""고 말했다. 지난 6월 한 일본인 남성이 주",03344343.png
837100,03344350,비정규직법안에 대한 국회 처리를 둘러싸고 여당과 노동계가 팽팽한,03344350.png
837102,03344352,된다. 고무에 카본블랙주1을 섞은 일반타이어는 날씨가 추워질수록,03344352.png
